sexe;deptgeo;deptgeo_Autre;deptformation;niveau;reprise;alternant;bourse;travail;logement;logement_Autre;fumer;alimentation;sante;fan;sport;raisonnonsuaps;raisonnonsuaps_Autre;sportavant;typessportavant_1;typessportavant_2;typessportavant_3;typessportavant_4;typessportavant_5;typessportavant_6;typessportavant_7;typessportavant_8;typessportavant_9;typessportavant_Autre;raisonarretsport;raisonarretsport_Autre;covid;raisonjamaissport;raisonjamaissport_Autre;cadresport_1;cadresport_2;sportsuaps_1;sportsuaps_2;sportsuaps_3;sportsuaps_4;sportsuaps_5;sportsuaps_6;sportsuaps_7;heuressuaps;bonif;satisfsuaps;raisonnonsatisfsuaps_1;raisonnonsatisfsuaps_2;raisonnonsatisfsuaps_3;raisonnonsatisfsuaps_4;raisonnonsatisfsuaps_Autre;lieu_1;lieu_2;lieu_3;lieu_Autre;sportsnonsuaps_1;sportsnonsuaps_2;sportsnonsuaps_3;sportsnonsuaps_4;sportsnonsuaps_5;sportsnonsuaps_6;sportsnonsuaps_7;sportsnonsuaps_8;sportsnonsuaps_9;sportsnonsuaps_Autre;cadrenonsuaps_1;cadrenonsuaps_2;tempsnonsuaps;compet;motiv;motiv_Autre;passersport;argument;argument_Autre;refairesport;reussite
Une femme;79;;HSE;BUT2;Non;Oui;;;Locataire;;Oui;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;Dans le cadre du SUAPS;Volley;;;;;;;1h ou moins;Non;Oui;;;;;;A Niort;;;;Autre;;;;;;;;;;Pratique libre;;1h;Non;S'amuser;;Oui sans trop de problème;;;;Moyennement d'accord
Un homme;Autre;973;GEA;BUT2;Non;Non;Non;Oui;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Futsal;Escalade;Volley;;;;;3h ou plus;Oui;Oui;Horaires;Lieux;Activités proposées;;;A Niort;;;;Gym, fitness, zumba...;Running, athlétisme;Yoga;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;86;;HSE;BUT2;Non;Non;Oui;Oui;Locataire;;Non;Non;Non;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Non;Oui;;;;;;A Niort;;;;Sport de raquette;;;;;;;;;;Club, association;;3h;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;37;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Musculation;;;;;;;2h;Oui;Oui;;;;;;Près de votre domicile familial;;;;Running, athlétisme;;;;;;;;;;Pratique libre;Club, association;2h;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;79;;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;17;;HSE;BUT2;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Sport de raquette;;;;;;;;;;Club, association;Pratique libre;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;Autre;49;HSE;BUT2;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Volley;Escalade;;;;;;3h ou plus;Oui;Oui;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;72;HSE;BUT2;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Non;Non;Les activités proposées ne vous conviennent pas;;Oui;Gym, fitness, zumba...;;;;;;;;;;Difficultés financières;;Non;;;;;;;;;;;;;;;;;;;;Autre;;;financièrement;;;;;;;;;;;;;;;;;;;;Oui;Moyennement d'accord
Un homme;17;;HSE;BUT2;Non;Non;Non;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;Dans le cadre du SUAPS;Volley;;;;;;;2h;Non;Oui;;;;;;Près de votre domicile familial;;;;Sport d'eau;;;;;;;;;;Club, association;;2h;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;HSE;BUT2;Non;Non;Non;Non;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Volley;;;;;;;2h;Non;Oui;;;;;;Près de votre domicile familial;;;;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;78;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Musculation;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Sport d'eau;Autre;;;;;;;equitation;Pratique libre;Club, association;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;Autre;37;HSE;BUT2;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Volley;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Autre;;;;;;;;Boxe, Patinage;Club, association;Pratique libre;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;37;HSE;BUT2;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Autre;;St mazaire;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Club, association;Pratique libre;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;92;HSE;BUT2;Non;Oui;;;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Basket;Volley;;;;;;3h ou plus;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;Basket;Pratique libre;;2h;Non;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;49;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Non;Vous n'avez pas envie de faire du sport;;Oui;Sport collectif autre que foot;;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Moyennement d'accord
Un homme;85;;HSE;BUT3;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Badminton;Musculation;;;;;;2h;Non;Oui;;;;;;Près de votre domicile familial;;;;Football;Sport de raquette;Running, athlétisme;;;;;;;;Club, association;Pratique libre;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;40;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;Autre;;;;;;;;Rugby;Club, association;Pratique libre;3h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;86;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Football;Sport de raquette;Gym, fitness, zumba...;Running, athlétisme;;;;;;;Pratique libre;;2h;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;72;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Football;Gym, fitness, zumba...;;;;;;;;;Club, association;Pratique libre;4h ou plus;Oui;S'amuser;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Une femme;Autre;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Musculation;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;72;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Sport d'eau;Running, athlétisme;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;44;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Basket;Volley;Musculation;;;;;3h ou plus;Oui;Non;Lieux;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Club, association;Pratique libre;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;17;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Musculation;;;;;;;2h;Oui;Oui;;;;;;A Niort;;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Club, association;;3h;Oui;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;49;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Non;;;;;;;;;;;;;;Pas d'envie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Non;Moyennement d'accord
Un homme;Autre;35;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Basket;Volley;Escalade;Musculation;;;;3h ou plus;Non;Oui;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;Cyclisme;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;Autre;42;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Escalade;;;;;;;2h;Oui;Oui;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;Escalade;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;24;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;Sport d'eau;Yoga;Autre;;;;;;Equitation;Club, association;Pratique libre;3h;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;37;HSE;BUT2;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Natation;Musculation;;;;;;3h ou plus;Oui;Oui;;;;;;A Niort;;;;Sport d'eau;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Pas vraiment d'accord
Un homme;Autre;44;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;Autre;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Autre;Objectif professionnel;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;86;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;Horaires;;;;;A Niort;;;;Running, athlétisme;;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;36;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Running, athlétisme;Autre;;;;;;;;Salle de sport;Pratique libre;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;86;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;A Niort;;;Football;Running, athlétisme;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;49;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;;;;;;;;;Pratique libre;;3h;Non;S'amuser;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;86;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Running, athlétisme;Cyclisme;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;33;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Autre;;;;;;;;;Salle de sport;Pratique libre;;2h;Non;Evacuer les tensions;;Oui sans trop de problème;;;;Pas vraiment d'accord
Une femme;Autre;33;HSE;BUT3;Non;Oui;;;Locataire;;Oui;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Sport collectif autre que foot;Running, athlétisme;;;;;;;;;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;Autre;33;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Non;Les horaires sont inadaptés;;Oui;Sport de raquette;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Une femme;Autre;49;HSE;BUT3;Oui;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Autre;;;;;;;;Pilate;Pratique libre;;3h;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;47;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Sport collectif auttre que foot;;;;;;;;;;Club, association;;3h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;50;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Oui;Non;Les activités proposées ne vous conviennent pas;;Oui;Autre;;;;;;;;;Sport de combat;Manque de temps;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Plus de temps;;Oui;Tout à fait d'accord
Un homme;Autre;44;HSE;BUT3;Non;Oui;;;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Autre;;;;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;45;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Non;Vous n'avez pas envie de faire du sport;;Oui;Cyclisme;;;;;;;;;;Plus d'envie;;Non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Un problème de santé;;Oui;Tout à fait d'accord
Un homme;17;;HSE;BUT3;Oui;Oui;;;Locataire;;Non;Non;Non;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Autre;;;Tennis;;;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Moyennement d'accord
Un homme;Autre;49;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;A Niort;;;Football;Autre;;;;;;;;Musculation;Club, association;Pratique libre;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;37;HSE;BUT3;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Autre;;;;;;;;Basketball;;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;17;;HSE;BUT3;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;Dans le cadre du SUAPS;En dehors du SUAPS;Basket;Volley;Badminton;;;;;3h ou plus;Oui;Oui;;;;;;Autre;;;Blois;Sport collectif auttre que foot;Cyclisme;;;;;;;;;Pratique libre;;3h;Non;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;44;HSE;BUT3;Non;Oui;;;Locataire;;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;45;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Autre;;lieu d'alternance;Sport d'eau;Running, athlétisme;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;11;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;Gym, fitness, zumba...;;;;;;;;Pratique libre;;3h;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Pas vraiment d'accord
Une femme;Autre;41;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Gym, fitness, zumba...;Running, athlétisme;;;;;;;;;Club, association;Pratique libre;2h;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;41;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;A Niort;;;Gym, fitness, zumba...;Running, athlétisme;Cyclisme;Autre;;;;;;Marche;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;71;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Non;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;Autre;Ambert;Sport d'eau;Running, athlétisme;Autre;;;;;;;Équitation;Club, association;Pratique libre;3h;Non;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;83;HSE;Licence Pro;Non;Non;Oui;Non;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Autre;;Dans mon département d'origine;Sport d'eau;Running, athlétisme;Autre;;;;;;;Reforcement musculaire;Club, association;Pratique libre;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Une femme;Autre;76;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Football;Sport d'eau;Running, athlétisme;Autre;;;;;;Musculation;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;85;;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Running, athlétisme;Cyclisme;;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;79;;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Autre;;;La Rochelle;Sport collectif auttre que foot;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;22;HSE;Licence Pro;Non;Non;Oui;Oui;Locataire;;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport collectif auttre que foot;Running, athlétisme;Gym, fitness, zumba...;;;;;;;;Pratique libre;;4h ou plus;Non;Autre;Préparation projet professionel;Ce serait difficile;;;;Tout à fait d'accord
Une femme;Autre;80;;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Sport d'eau;Running, athlétisme;;;;;;;;;Pratique libre;;2h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;Autre;16;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;;;;;;;;;Pratique libre;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;43;HSE;Licence Pro;Oui;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Sport d'eau;Running, athlétisme;Autre;;;;;;;Crossfit;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;49;HSE;Licence Pro;Non;Oui;;;Autre;Chez mon frère;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Football;;;;;;;;;;Club, association;;4h ou plus;Oui;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;Autre;76;HSE;Licence Pro;Non;Oui;;;Autre;Collocataire;Non;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Running, athlétisme;;;;;;;;;;Pratique libre;;4h ou plus;Non;Etre en forme;;Ce serait difficile;;;;Moyennement d'accord
Un homme;Autre;62;HSE;Licence Pro;Non;Oui;;;Locataire;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;Près de votre domicile familial;;;Sport d'eau;Running, athlétisme;Cyclisme;;;;;;;;Pratique libre;;3h;Non;Etre en forme;;Ce serait difficile;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;Autre;;;;;;;;Taekwondo;Club, association;;4h ou plus;Non;Etre en forme;;Je ne peux pas l'envisager;;;;Tout à fait d'accord
Un homme;79;;GEA;Licence Pro;Non;Oui;;;Locataire;;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;Sport d'eau;;;;;;;;;Pratique libre;;1h;Non;Etre en forme;;Oui sans trop de problème;;;;Moyennement d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Oui;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;Près de votre domicile familial;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;3h;Non;S'amuser;;Ce serait difficile;;;;Tout à fait d'accord
Une femme;79;;GEA;Licence Pro;Non;Oui;;;Domicilié.e chez vos (ou un de vos ) parents;;Non;Non;Oui;Oui;Oui;;;;;;;;;;;;;;;;;;;En dehors du SUAPS;;;;;;;;;;;;;;;;;A Niort;;;;Gym, fitness, zumba...;;;;;;;;;;Pratique libre;;4h ou plus;Non;Evacuer les tensions;;Ce serait difficile;;;;Tout à fait d'accord
